team,matchID,goals,shots,fouls,yellows,reds,match_outcome
Brest,MARBRE,0,18,8,1,0,Loss
Lens,PARLEN,1,12,16,5,0,Loss
"Le Havre","RENLE ",2,7,7,2,1,Draw
Metz,CLEMET,1,10,10,1,0,Win
Reims,MONREI,3,12,19,1,0,Win
Toulouse,STRTOU,0,7,17,3,0,Loss
Lille,LORLIL,1,18,12,4,0,Loss
Lyon,NICLYO,0,6,14,4,0,Draw
Marseille,NANMAR,1,26,13,2,0,Draw
Rennes,BREREN,0,6,12,1,0,Draw
Lens,MONLEN,0,12,16,2,0,Loss
Clermont,TOUCLE,2,15,17,3,0,Draw
Lorient,"LE LOR",0,9,7,0,0,Loss
Montpellier,LILMON,0,9,14,1,0,Loss
Reims,METREI,2,12,17,4,0,Draw
Strasbourg,NICSTR,0,4,12,1,0,Loss
"Paris SG",LYOPAR,4,22,5,2,0,Win
Nice,PARNIC,3,14,17,5,0,Win
Lille,RENLIL,2,10,16,4,0,Draw
Metz,LENMET,1,2,12,2,0,Win
Monaco,LORMON,2,20,14,1,0,Draw
Nantes,CLENAN,1,8,16,2,0,Win
Brest,REIBRE,2,18,11,4,0,Win
Montpellier,STRMON,2,11,17,6,0,Draw
Toulouse,MARTOU,0,10,11,5,0,Draw
"Le Havre","LYOLE ",0,7,12,2,0,Draw
Nice,MONNIC,1,13,15,1,0,Win
Lorient,NANLOR,3,10,17,3,0,Loss
Lyon,BRELYO,0,6,16,1,0,Loss
Strasbourg,METSTR,1,4,15,0,0,Win
Clermont,"LE CLE",1,11,17,3,0,Loss
Toulouse,LENTOU,1,7,15,1,0,Loss
Rennes,MONREN,0,18,15,1,0,Draw
Marseille,PARMAR,0,6,14,3,0,Loss
Reims,LILREI,2,4,19,2,0,Win
Lens,STRLEN,1,9,15,4,0,Win
"Paris SG",CLEPAR,0,21,16,3,0,Draw
Marseille,MONMAR,2,8,15,4,0,Loss
Lyon,REILYO,0,11,14,2,0,Loss
Lille,"LE LIL",2,16,6,0,0,Win
Brest,NICBRE,0,7,9,3,0,Draw
Metz,TOUMET,0,8,7,0,0,Loss
Montpellier,LORMON,3,14,6,1,0,Win
Nantes,RENNAN,1,10,17,6,1,Loss
Nantes,STRNAN,2,16,12,0,0,Win
Nice,METNIC,1,7,10,1,0,Win
Monaco,REIMON,3,11,14,3,0,Win
"Le Havre","MARLE ",0,7,16,3,1,Loss
Toulouse,BRETOU,1,9,18,2,0,Draw
Lorient,LYOLOR,3,6,10,0,0,Draw
Lille,LENLIL,1,8,16,4,0,Draw
"Paris SG",RENPAR,3,17,15,0,0,Win
Lens,"LE LEN",0,13,9,3,0,Draw
Strasbourg,PARSTR,0,7,10,0,0,Loss
Marseille,NICMAR,0,9,6,3,1,Loss
Rennes,LORREN,1,20,14,2,0,Loss
Brest,LILBRE,0,9,13,3,0,Loss
Montpellier,NANMON,0,11,13,1,0,Loss
Reims,TOUREI,1,15,15,0,0,Draw
Metz,MONMET,1,8,11,3,0,Loss
Clermont,LYOCLE,2,12,12,6,0,Win
Nice,CLENIC,1,11,12,2,0,Win
Lorient,REILOR,0,9,7,3,0,Loss
Nantes,LENNAN,0,11,17,2,0,Loss
"Paris SG",BREPAR,3,17,10,4,0,Win
Monaco,LILMON,0,16,13,2,0,Loss
"Le Havre","METLE ",0,12,15,2,0,Draw
Toulouse,MONTOU,0,16,15,3,0,Loss
Strasbourg,RENSTR,1,11,16,2,0,Draw
Montpellier,PARMON,0,7,13,0,0,Loss
Lens,LORLEN,0,14,14,3,0,Draw
Lille,MARLIL,0,10,12,3,0,Draw
Metz,LYOMET,1,10,14,1,0,Draw
Reims,NANREI,1,7,11,2,0,Win
Clermont,STRCLE,0,10,5,0,0,Draw
"Le Havre","TOULE ",2,15,12,2,0,Win
Brest,MONBRE,0,15,11,4,1,Loss
Rennes,NICREN,0,11,12,2,1,Loss
Nice,MONNIC,0,15,15,4,0,Draw
"Paris SG",REIPAR,3,14,6,0,0,Win
Monaco,"LE MON",0,10,18,3,0,Draw
Lorient,CLELOR,0,10,10,2,0,Loss
Toulouse,LILTOU,1,2,16,4,0,Draw
Nantes,METNAN,1,16,9,0,0,Loss
Lyon,RENLYO,1,12,18,1,0,Win
Marseille,LENMAR,0,8,15,2,0,Loss
Monaco,PARMON,2,14,19,1,0,Loss
Lens,CLELEN,3,16,17,3,1,Win
Marseille,STRMAR,1,16,16,2,0,Draw
Toulouse,NICTOU,0,19,19,4,0,Loss
Metz,LORMET,3,14,17,1,0,Win
Brest,MONBRE,3,17,18,2,0,Win
"Le Havre","NANLE ",0,6,17,2,1,Draw
Reims,RENREI,1,15,18,2,0,Loss
Lille,LYOLIL,2,15,5,2,0,Win
Clermont,MONCLE,1,5,14,4,0,Draw
Strasbourg,REISTR,1,10,7,1,0,Loss
Lyon,LENLYO,2,12,14,0,0,Loss
Nice,NANNIC,0,13,18,0,0,Loss
"Paris SG","LE PAR",2,9,9,1,1,Win
Clermont,BRECLE,0,10,17,2,0,Loss
Montpellier,MONMON,0,9,13,3,1,Loss
Lorient,TOULOR,1,11,10,4,0,Draw
Metz,LILMET,0,7,11,0,0,Loss
Rennes,MARREN,0,10,15,3,1,Loss
Lyon,MARLYO,0,6,11,2,0,Loss
Strasbourg,BRESTR,1,9,18,0,0,Draw
Lens,MONLEN,0,13,11,3,0,Draw
Monaco,RENMON,2,12,22,6,1,Win
Nantes,PARNAN,1,10,12,3,0,Loss
Reims,NICREI,1,9,6,3,0,Loss
Lille,CLELIL,0,12,9,2,0,Draw
Brest,METBRE,1,4,16,2,0,Win
"Le Havre","STRLE ",1,15,15,1,0,Loss
Toulouse,LYOTOU,0,16,15,3,0,Loss
Marseille,LORMAR,4,18,17,3,1,Win
Lyon,MONLYO,1,5,12,2,0,Win
Nice,"LE NIC",1,13,9,2,1,Loss
Reims,LENREI,0,14,10,1,0,Loss
Brest,NANBRE,2,14,8,3,0,Win
Strasbourg,LORSTR,2,12,12,2,0,Win
Montpellier,METMON,1,6,14,2,0,Win
Rennes,TOUREN,0,11,14,2,0,Draw
Clermont,MARCLE,1,5,14,3,0,Loss
"Paris SG",LILPAR,1,10,19,1,0,Draw
Lorient,BRELOR,0,7,17,2,0,Loss
Rennes,CLEREN,3,25,11,3,0,Win
Nantes,LYONAN,0,7,14,2,0,Loss
Marseille,MONMAR,1,17,13,1,0,Draw
Lens,NICLEN,0,10,11,2,0,Loss
Metz,PARMET,1,3,9,1,0,Loss
"Le Havre","REILE ",0,4,6,1,1,Loss
Lille,STRLIL,1,9,10,2,0,Loss
Monaco,TOUMON,2,12,10,3,1,Win
Strasbourg,MARSTR,1,18,10,2,0,Draw
Reims,MONREI,3,12,9,2,0,Win
Nice,RENNIC,0,9,11,0,0,Loss
Lorient,LILLOR,0,1,22,4,0,Loss
Montpellier,BREMON,0,9,7,2,0,Loss
Toulouse,METTOU,1,4,18,2,0,Win
